measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
28,HALE (Healthy life expectancy),4743,European Union,3,Both,22,All Ages,5,Years,1990,65.794795,68.159344,63.084684
28,HALE (Healthy life expectancy),4744,EU and EFTA,3,Both,22,All Ages,5,Years,1990,65.828949,68.197067,63.113684
28,HALE (Healthy life expectancy),4749,England,3,Both,22,All Ages,5,Years,1990,66.904564,69.202282,64.244987
28,HALE (Healthy life expectancy),4940,Sweden except Stockholm,3,Both,22,All Ages,5,Years,1990,68.520943,70.916649,65.759617
28,HALE (Healthy life expectancy),4944,Stockholm,3,Both,22,All Ages,5,Years,1990,67.915215,70.13279,65.401684
28,HALE (Healthy life expectancy),44534,Commonwealth,3,Both,22,All Ages,5,Years,1990,51.097897,53.250214,48.741247
28,HALE (Healthy life expectancy),44535,Commonwealth High Income,3,Both,22,All Ages,5,Years,1990,66.818491,69.206997,64.119152
28,HALE (Healthy life expectancy),44536,Commonwealth Middle Income,3,Both,22,All Ages,5,Years,1990,50.305919,52.44371,47.97229
28,HALE (Healthy life expectancy),44537,Commonwealth Low Income,3,Both,22,All Ages,5,Years,1990,48.266349,50.33531,45.860117
28,HALE (Healthy life expectancy),44559,Africa,3,Both,22,All Ages,5,Years,1990,48.154341,50.296087,45.745085
28,HALE (Healthy life expectancy),44560,America,3,Both,22,All Ages,5,Years,1990,62.718592,65.052219,60.085272
28,HALE (Healthy life expectancy),44561,Asia,3,Both,22,All Ages,5,Years,1990,56.099965,58.118959,53.859745
28,HALE (Healthy life expectancy),44562,Europe,3,Both,22,All Ages,5,Years,1990,63.442718,65.781998,60.805088
28,HALE (Healthy life expectancy),44563,African Region,3,Both,22,All Ages,5,Years,1990,46.678677,48.75053,44.282125
28,HALE (Healthy life expectancy),44564,Region of the Americas,3,Both,22,All Ages,5,Years,1990,62.718537,65.05217,60.085241
28,HALE (Healthy life expectancy),44565,South-East Asia Region,3,Both,22,All Ages,5,Years,1990,51.442864,53.579922,49.072737
28,HALE (Healthy life expectancy),44566,European Region,3,Both,22,All Ages,5,Years,1990,63.091913,65.433601,60.459099
