measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,294,All causes,1,Number,2015,2464895387,2696510751,2259888977
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,295,"Communicable, maternal, neonatal, and nutritional diseases",1,Number,2015,741595909.7,787659867.6,703928714.6
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,296,HIV/AIDS and tuberculosis,1,Number,2015,106991765.3,116789908.9,99680759.18
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,297,Tuberculosis,1,Number,2015,40302237.01,49653866.89,34065778.89
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2015,66689528.25,70788317.75,63342892.55
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,299,HIV/AIDS - Tuberculosis,1,Number,2015,11621917.79,13412316.37,8955522.184
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,300,HIV/AIDS resulting in other diseases,1,Number,2015,55067610.46,59294325.23,51480932.57
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,301,"Diarrhea, lower respiratory, and other common infectious diseases",1,Number,2015,242875768.4,255919100.3,230349981.3
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,302,Diarrheal diseases,1,Number,2015,71589510.49,77205834.88,66442883.77
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,318,Intestinal infectious diseases,1,Number,2015,12631971.67,20762476.05,7250452.176
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,319,Typhoid fever,1,Number,2015,10575616.79,17598028.67,5896095.215
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,320,Paratyphoid fever,1,Number,2015,2014806.879,3848403.02,960455.4751
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,321,Other intestinal infectious diseases,1,Number,2015,41547.99695,81328.00187,16347.76752
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,322,Lower respiratory infections,1,Number,2015,103048564.2,109078818.3,96128210.59
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,328,Upper respiratory infections,1,Number,2015,2868412.935,4785179.161,1650235.685
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,329,Otitis media,1,Number,2015,3497635.796,5088543.155,2284865.189
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,332,Meningitis,1,Number,2015,25394610.2,30649016.86,21653150.68
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,333,Pneumococcal meningitis,1,Number,2015,7773368.334,9900188.971,6353393.857
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,334,H influenzae type B meningitis,1,Number,2015,5345668.059,7103247.608,4146695.531
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,335,Meningococcal meningitis,1,Number,2015,5065564.845,6721752.804,3879501.123
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,336,Other meningitis,1,Number,2015,7210008.957,8958427.138,5953910.051
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,337,Encephalitis,1,Number,2015,8452466.929,9411639.867,7668580.549
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,338,Diphtheria,1,Number,2015,170790.276,388738.6729,83401.98606
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,339,Whooping cough,1,Number,2015,5070488.263,10791840.53,1815745.175
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,340,Tetanus,1,Number,2015,3510022.481,4502895.674,3002231.882
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,341,Measles,1,Number,2015,6150119.958,13467421.89,2193055.745
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,342,Varicella and herpes zoster,1,Number,2015,491175.1772,625302.2534,386124.7311
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,344,Neglected tropical diseases and malaria,1,Number,2015,79212246.42,97299045.34,63820150.44
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,345,Malaria,1,Number,2015,55769621.19,69078549.34,42478406.31
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,346,Chagas disease,1,Number,2015,236136.8765,265299.6438,211832.3001
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,347,Leishmaniasis,1,Number,2015,1418933.617,1913839.308,1005766.115
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,348,Visceral leishmaniasis,1,Number,2015,1377402.071,1863822.876,965402.9611
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,349,Cutaneous and mucocutaneous leishmaniasis,1,Number,2015,41531.5456,81020.17019,19361.94285
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,350,African trypanosomiasis,1,Number,2015,202437.6886,322305.272,104648.0871
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,351,Schistosomiasis,1,Number,2015,2613310.3,4695769.029,1409934.218
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,352,Cysticercosis,1,Number,2015,303631.7265,410919.0293,211421.9729
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,353,Cystic echinococcosis,1,Number,2015,172629.6569,220560.2032,132125.0355
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,354,Lymphatic filariasis,1,Number,2015,2074955.183,3311484.07,1120521.988
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,355,Onchocerciasis,1,Number,2015,1135703.312,2005737.427,545764.578
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,356,Trachoma,1,Number,2015,279236.977,396157.7133,192534.799
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,357,Dengue,1,Number,2015,1892234.909,2925233.568,1266702.311
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,358,Yellow fever,1,Number,2015,329754.8997,898065.7477,66948.36319
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,359,Rabies,1,Number,2015,931556.5013,1120936.085,779156.8763
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,360,Intestinal nematode infections,1,Number,2015,3378336.093,5294484.141,2046231.276
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,361,Ascariasis,1,Number,2015,1075439.852,1660925.537,685095.1006
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,362,Trichuriasis,1,Number,2015,544105.8059,946075.8116,289279.9076
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,363,Hookworm disease,1,Number,2015,1758790.436,2755084.092,1085840.371
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,364,Food-borne trematodiases,1,Number,2015,1686462.847,3072767.324,855037.2098
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,365,Other neglected tropical diseases,1,Number,2015,6460962.968,13769500.2,3516286.331
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,366,Maternal disorders,1,Number,2015,16282045.95,18451168.06,14542505.12
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,367,Maternal hemorrhage,1,Number,2015,4645754.261,5636794.093,3769859.578
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,368,Maternal sepsis and other maternal infections,1,Number,2015,1049991.68,1382834.836,792689.6743
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,369,Maternal hypertensive disorders,1,Number,2015,2938002.945,3698497.916,2318035.259
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,370,Maternal obstructed labor and uterine rupture,1,Number,2015,1627065.036,2025089.91,1257567.807
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,371,"Maternal abortion, miscarriage, and ectopic pregnancy",1,Number,2015,1809682.034,2283564.777,1416896.728
2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,22,All Ages,375,Indirect maternal deaths,1,Number,2015,1744239.367,2286793.178,1299677.291
